sampleID,batID,treatment,date,proteins
1_7421,1,0,7/4/21,0.961501481
3_7421,3,1.5,7/4/21,1.002286237
4_7421,4,0.5,7/4/21,0.79138968
5_7421,5,0.1,7/4/21,1.112223334
7_7421,7,0,7/4/21,0.48120046
8_7421,8,2,7/4/21,1.188483834
9_7421,9,1.5,7/4/21,2.313710945
4_7521,4,1.5,7/5/21,1.079045547
5_7521,5,0.5,7/5/21,1.155419145
7_7521,7,0.1,7/5/21,0.586920162
8_7521,8,0,7/5/21,1.283950617
9_7521,9,2,7/5/21,2.107218115
2_7621,2,0.1,7/6/21,0.811245335
3_7621,3,0,7/6/21,1.904457496
4_7621,4,2,7/6/21,0.681236792
5_7621,5,1.5,7/6/21,0.777091046
7_7621,7,0.5,7/6/21,1.524799653
9_7621,9,0,7/6/21,3.919263179
2_7721,2,0.5,7/7/21,1.526701427
3_7721,3,0.1,7/7/21,3.200731596
4_7721,4,0,7/7/21,1.193279522
5_7721,5,2,7/7/21,1.470537943
7_7721,7,1.5,7/7/21,1.618981999
8_7721,8,0.5,7/7/21,1.163902398
9_7721,9,0.1,7/7/21,1.744972299
2_7821,2,1.5,7/8/21,1.560459858
3_7821,3,0.5,7/8/21,2.715598928
4_7821,4,0.1,7/8/21,1.090617394
5_7821,5,0,7/8/21,1.656627388
7_7821,7,2,7/8/21,2.691754028
8_7821,8,1.5,7/8/21,1.307734838
9_7821,9,0.5,7/8/21,3.560364359
10_71521,10,0,7/15/21,3.101159102
11_71521,11,2,7/15/21,1.829614993
12_71521,12,1.5,7/15/21,1.589294433
13_71521,13,0.5,7/15/21,2.489919774
14_71521,14,0.1,7/15/21,2.790039009
15_71521,15,0,7/15/21,1.756157066
16_71521,16,2,7/15/21,2.452043808
17_71521,17,1.5,7/15/21,3.127778812
18_71521,18,0.5,7/15/21,2.146644508
19_71521,19,0.1,7/15/21,2.885704979
10_71621,10,0.1,7/16/21,3.310902403
11_71621,11,0,7/16/21,2.635734089
12_71621,12,2,7/16/21,2.487562189
13_71621,13,1.5,7/16/21,1.972683544
14_71621,14,0.5,7/16/21,4.099357855
15_71621,15,0.1,7/16/21,3.330363582
16_71621,16,0,7/16/21,1.847555212
17_71621,17,2,7/16/21,1.561907545
18_71621,18,1.5,7/16/21,1.728811643
19_71621,19,0.5,7/16/21,2.220803179
10_71721,10,0.5,7/17/21,3.121561556
11_71721,11,0.1,7/17/21,1.720740298
12_71721,12,0,7/17/21,1.475459199
13_71721,13,2,7/17/21,3.451734951
14_71721,14,1.5,7/17/21,2.967535437
15_71721,15,0.5,7/17/21,3.26971288
16_71721,16,0.1,7/17/21,1.810239358
17_71721,17,0,7/17/21,1.866156115
18_71721,18,2,7/17/21,3.722051847
19_71721,19,1.5,7/17/21,2.050280264
10_71821,10,1.5,7/18/21,2.601439923
11_71821,11,0.5,7/18/21,1.475400207
12_71821,12,0.1,7/18/21,1.214534345
13_71821,13,0,7/18/21,1.604136204
14_71821,14,2,7/18/21,5.235347116
15_71821,15,1.5,7/18/21,1.644511804
16_71821,16,0.5,7/18/21,1.80840961
17_71821,17,0.1,7/18/21,1.138649092
18_71821,18,0,7/18/21,1.384443428
19_71821,19,2,7/18/21,3.181347044
10_71921,10,2,7/19/21,1.831660321
11_71921,11,1.5,7/19/21,0.95433533
12_71921,12,0.5,7/19/21,0.12672496
13_71921,13,0.1,7/19/21,0.996412023
14_71921,14,0,7/19/21,1.14824852
15_71921,15,2,7/19/21,1.06638856
16_71921,16,1.5,7/19/21,0.080320147
17_71921,17,0.5,7/19/21,0.819994127
