date,bat,treatment,petridishweight,foodinitial,totalinitil,totalfinal,foodconsumed,percentagefoodeaten
07.02.2021,11,ln,8.826,4.944,13.77,13.739,0.031,0.6270226537
07.02.2021,11,hn,8.674,5.16,13.834,11.97,1.864,36.12403101
07.02.2021,12,ln,8.809,5.177,13.986,12.313,1.673,32.31601314
07.02.2021,12,hn,8.807,4.967,13.774,13.761,0.013,0.2617274008
07.02.2021,13,ln,8.564,5.052,13.616,9.698,3.918,77.55344418
07.02.2021,13,hn,8.626,5.045,13.671,8.921,4.75,94.15262636
07.02.2021,14,ln,8.796,5.044,13.84,12.184,1.656,32.83108644
07.02.2021,14,hn,8.549,5.029,13.578,8.919,4.659,92.6426725
07.02.2021,15,ln+lamides,8.561,4.975,13.536,13.465,0.071,1.427135678
07.02.2021,15,hn+hamides,8.613,5.034,13.647,10.343,3.304,65.6336909
07.02.2021,17,ln+lamides,8.716,5.012,13.728,12.885,0.843,16.81963288
07.02.2021,17,hn+hamides,8.794,5.075,13.869,10.914,2.955,58.22660099
07.02.2021,18,ln+lamides,8.806,5.089,13.895,10.732,3.163,62.15366477
07.02.2021,18,hn+hamides,8.552,5.089,13.641,9.38,4.261,83.72961289
07.02.2021,19,ln+lamides,8.62,4.915,13.535,9.045,4.49,91.35300102
07.02.2021,19,hn+hamides,8.734,5.093,13.827,13.801,0.026,0.5105046142
07.03.2021,11,ln+lamides,8.573,4.995,13.568,13.486,0.082,1.641641642
07.03.2021,11,hn+hamides,8.721,4.994,13.715,11.947,1.768,35.40248298
07.03.2021,12,ln+lamides,8.547,5.001,13.548,13.481,0.067,1.339732054
07.03.2021,12,hn+hamides,8.614,5.032,13.646,10.439,3.207,63.73211447
07.03.2021,13,ln+lamides,8.611,4.955,13.566,9.386,4.18,84.3592331
07.03.2021,13,hn+hamides,8.614,4.93,13.544,8.928,4.616,93.63083164
07.03.2021,14,ln+lamides,8.793,4.999,13.792,13.757,0.035,0.700140028
07.03.2021,14,hn+hamides,8.771,5.053,13.824,10.926,2.898,57.35206808
07.03.2021,15,ln,8.552,5.005,13.557,8.864,4.693,93.76623377
07.03.2021,15,hn,8.734,4.987,13.721,13.74,0,0
07.03.2021,17,ln,8.697,5.082,13.779,8.921,4.858,95.5922865
07.03.2021,17,hn,8.539,5.072,13.611,10.69,2.921,57.59069401
07.03.2021,18,ln,8.553,5.001,13.554,9.282,4.272,85.42291542
07.03.2021,18,hn,8.77,5.031,13.801,10.04,3.761,74.75650964
07.03.2021,19,ln,8.731,5.036,13.767,13.76,0.007,0.1389992057
07.03.2021,19,hn,8.611,5.054,13.665,9.494,4.171,82.52869015
07.12.2021,1,ln+lamides,8.609,4.978,13.587,13.576,0.011,0.220972278
07.12.2021,1,hn+hamides,8.775,4.932,13.707,9.396,4.311,87.40875912
07.12.2021,2,ln+lamides,8.723,5.039,13.762,13.759,0.003,0.05953562215
07.12.2021,2,hn+hamides,8.782,4.973,13.755,12.424,1.331,26.76452845
07.12.2021,3,ln+lamides,8.527,5.058,13.585,13.583,0.002,0.03954132068
07.12.2021,3,hn+hamides,8.692,5.007,13.699,10.281,3.418,68.2644298
07.12.2021,4,ln+lamides,8.53,4.909,13.439,13.406,0.033,0.672234671
07.12.2021,4,hn+hamides,8.595,5.079,13.674,12.111,1.563,30.77377437
07.12.2021,5,la,8.684,4.91,13.594,9.186,4.408,89.77596741
07.12.2021,5,ha,8.59,4.988,13.578,12.298,1.28,25.66158781
07.12.2021,6,la,8.715,5.058,13.773,9.054,4.719,93.29774614
07.12.2021,6,ha,8.612,4.923,13.535,13.783,-0.248,0
07.12.2021,7,la,8.773,5.008,13.781,10.027,3.754,74.9600639
07.12.2021,7,ha,8.797,4.981,13.778,13.874,-0.096,0
07.12.2021,8,ln,8.593,4.91,13.503,13.513,-0.01,0
07.12.2021,8,hn ,6.879,4.962,11.841,9.024,2.817,56.77146312
07.12.2021,9,ln,6.864,4.932,11.796,11.809,-0.013,0
07.12.2021,9,hn ,6.585,5.026,11.611,9.629,1.982,39.43493832
07.12.2021,10,ln,6.901,5.043,11.944,11.963,-0.019,0
07.12.2021,10,hn ,6.594,4.914,11.508,8.331,3.177,64.65201465
07.13.2021,1,ln,6.584,5.175,11.759,10.556,1.203,23.24637681
07.13.2021,1,hn ,8.774,5.13,13.904,9.466,4.438,86.51072125
07.13.2021,2,ln,8.596,4.935,13.531,13.518,0.013,0.2634245187
07.13.2021,2,hn ,6.573,5.014,11.587,8.05,3.537,70.54248105
07.13.2021,3,ln,6.851,5.045,11.896,11.927,-0.031,0
07.13.2021,3,hn ,6.853,5.027,11.88,8.049,3.831,76.20847424
07.13.2021,4,ln,8.694,4.95,13.644,13.677,-0.033,0
07.13.2021,4,hn,8.761,5.022,13.783,9.512,4.271,85.04579849
07.13.2021,5,ln+lamides,8.519,5.044,13.563,13.556,0.007,0.138778747
07.13.2021,5,hn+hamides,8.556,4.985,13.541,9.888,3.653,73.27983952
